iter	Passed	Remaining
0	157	110380
1	169	59066
2	181	42091
3	188	32815
4	196	27348
5	210	24314
6	221	21896
7	228	19764
8	235	18048
9	244	16896
10	253	15858
11	261	14968
12	269	14251
13	279	13694
14	290	13259
15	298	12754
16	304	12220
17	316	11985
18	325	11677
19	333	11336
20	341	11044
21	351	10830
22	360	10617
23	366	10319
24	382	10325
25	396	10268
26	407	10148
27	418	10042
28	426	9870
29	438	9787
30	452	9773
31	462	9664
32	471	9528
33	479	9401
34	488	9283
35	498	9186
36	508	9118
37	518	9032
38	533	9045
39	555	9160
40	564	9075
41	570	8936
42	580	8863
43	588	8775
44	597	8693
45	605	8608
46	613	8521
47	622	8454
48	633	8419
49	640	8321
50	652	8302
51	657	8187
52	668	8155
53	673	8061
54	683	8012
55	695	7997
56	702	7924
57	710	7865
58	720	7823
59	727	7755
60	732	7678
61	742	7637
62	764	7729
63	773	7690
64	784	7667
65	793	7620
66	801	7573
67	811	7543
68	817	7473
69	824	7419
70	832	7374
71	841	7336
72	850	7309
73	863	7307
74	875	7293
75	883	7249
76	891	7214
77	902	7194
78	913	7177
79	926	7178
80	932	7126
81	940	7085
82	948	7053
83	957	7020
84	965	6983
85	972	6942
86	981	6914
87	990	6891
88	1002	6880
89	1012	6860
90	1038	6953
91	1054	6971
92	1067	6967
93	1077	6943
94	1089	6937
95	1101	6929
96	1114	6930
97	1126	6920
98	1137	6908
99	1149	6897
100	1161	6888
101	1171	6869
102	1182	6854
103	1192	6835
104	1202	6816
105	1214	6808
106	1227	6803
107	1233	6761
108	1243	6742
109	1249	6701
110	1260	6687
111	1272	6681
112	1283	6665
113	1294	6656
114	1301	6618
115	1318	6638
116	1325	6605
117	1334	6581
118	1339	6539
119	1348	6517
120	1357	6497
121	1367	6477
122	1378	6465
123	1388	6447
124	1407	6473
125	1416	6454
126	1426	6435
127	1437	6422
128	1445	6399
129	1454	6376
130	1467	6372
131	1473	6341
132	1485	6332
133	1497	6323
134	1505	6300
135	1515	6283
136	1521	6251
137	1528	6226
138	1539	6212
139	1544	6177
140	1553	6156
141	1561	6136
142	1567	6103
143	1575	6082
144	1583	6061
145	1589	6032
146	1598	6014
147	1607	5996
148	1614	5969
149	1624	5954
150	1634	5941
151	1639	5912
152	1648	5893
153	1659	5882
154	1664	5853
155	1673	5837
156	1679	5810
157	1690	5797
158	1698	5780
159	1704	5754
160	1714	5738
161	1727	5735
162	1737	5723
163	1748	5714
164	1764	5719
165	1780	5728
166	1787	5703
167	1802	5707
168	1815	5704
169	1822	5682
170	1834	5673
171	1842	5656
172	1853	5646
173	1859	5620
174	1870	5610
175	1880	5599
176	1889	5583
177	1898	5566
178	1908	5554
179	1919	5545
180	1925	5521
181	1932	5501
182	1941	5484
183	1948	5463
184	1955	5442
185	1961	5421
186	1967	5397
187	1975	5379
188	1981	5358
189	1989	5339
190	1999	5328
191	2007	5312
192	2021	5309
193	2032	5300
194	2043	5292
195	2052	5277
196	2063	5268
197	2074	5259
198	2079	5236
199	2088	5221
200	2099	5211
201	2112	5207
202	2124	5201
203	2135	5191
204	2143	5174
205	2151	5159
206	2160	5144
207	2167	5127
208	2176	5112
209	2187	5103
210	2196	5091
211	2205	5077
212	2215	5066
213	2225	5053
214	2239	5050
215	2251	5045
216	2263	5037
217	2273	5026
218	2281	5011
