date,title,description,content,source,url,title_clean,description_clean,content_clean,full_text,keywords,sp500,fed,inflation,earnings,tech,banking,recession,bull_market,bear_market,text_length,word_count,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
2025-11-13,Interactive service for choosing a jurisdiction for crypto businesses and startups from Gofaizen  Sherle,,Interactive service for choosing a jurisdiction for crypto businesses and startups from Gofaizen  Sherle,Finviz,https://finance.yahoo.com/m/354ddc23-4fd2-35a6-bb04-f3ed2f50c07d/interactive-service-for.html,interactive service for choosing a jurisdiction for crypto businesses and startups from gofaizen sherle,,interactive service for choosing a jurisdiction for crypto businesses and startups from gofaizen sherle,interactive service for choosing a jurisdiction for crypto businesses and startups from gofaizen sherle.,"interactive, service, choosing, jurisdiction, crypto",False,False,False,False,False,False,False,False,False,104,14,0.0,0.0,1.0,0.0,neutral
2025-11-13,Cisco Surges on Earnings Beat & Upbeat Guidance: ETFs in Focus,,Cisco Surges on Earnings Beat & Upbeat Guidance: ETFs in Focus,Finviz,/news/228393/cisco-surges-on-earnings-beat-upbeat-guidance-etfs-in-focus,cisco surges on earnings beat upbeat guidance: etfs in focus,,cisco surges on earnings beat upbeat guidance: etfs in focus,cisco surges on earnings beat upbeat guidance: etfs in focus.,"cisco, surges, earnings, beat, upbeat",False,False,False,True,False,False,False,False,False,61,10,0.0,0.0,1.0,0.0,neutral
2025-11-13,A stock market that could only go up now seems to need direction,,A stock market that could only go up now seems to need direction,Finviz,https://www.marketwatch.com/story/a-stock-market-that-could-only-go-up-now-seems-to-need-direction-f1e26847?mod=mw_FV,a stock market that could only go up now seems to need direction,,a stock market that could only go up now seems to need direction,a stock market that could only go up now seems to need direction.,"stock, market, could, seems, need",False,False,False,False,False,False,False,False,False,65,13,0.0,0.0,1.0,0.0,neutral
2025-11-12,Should SPDR S&P 500 ETF (SPY) Be on Your Investing Radar?,,Should SPDR S&P 500 ETF (SPY) Be on Your Investing Radar?,Finviz,/news/227054/should-spdr-sp-500-etf-spy-be-on-your-investing-radar,should spdr sp 500 etf (spy) be on your investing radar?,,should spdr sp 500 etf (spy) be on your investing radar?,should spdr sp 500 etf (spy) be on your investing radar?.,"spdr, etf, spy, investing, radar",True,False,False,False,False,False,False,False,False,57,11,0.0,0.0,1.0,0.0,neutral
2025-11-12,"3 Simple ETFs to Buy With $1,000 and Hold for a Lifetime",,"3 Simple ETFs to Buy With $1,000 and Hold for a Lifetime",Finviz,/news/226925/3-simple-etfs-to-buy-with-1000-and-hold-for-a-lifetime,"3 simple etfs to buy with $1,000 and hold for a lifetime",,"3 simple etfs to buy with $1,000 and hold for a lifetime","3 simple etfs to buy with $1,000 and hold for a lifetime.","simple, etfs, buy, hold, lifetime",False,False,False,False,False,False,False,False,False,57,12,0.0,0.0,1.0,0.0,neutral
2025-11-12,S&P 500 reaches new highs as tech stocks rally amid strong earnings,Technology sector leads market gains,S&P 500 reaches new highs as tech stocks rally amid strong earnings. Technology sector leads market gains.,Market Summary,,sp 500 reaches new highs as tech stocks rally amid strong earnings,technology sector leads market gains,sp 500 reaches new highs as tech stocks rally amid strong earnings. technology sector leads market gains.,sp 500 reaches new highs as tech stocks rally amid strong earnings. technology sector leads market gains,"reaches, new, highs, tech, stocks",True,False,False,True,True,False,False,False,False,104,17,0.33,0.0,0.67,0.7096,positive
2025-11-12,Market Minute 11-12-25- Stocks on a Streak; AI Helping Chip Sales,,Market Minute 11-12-25- Stocks on a Streak; AI Helping Chip Sales,Finviz,https://finance.yahoo.com/news/market-minute-11-12-25-141500966.html,market minute 11-12-25- stocks on a streak; ai helping chip sales,,market minute 11-12-25- stocks on a streak; ai helping chip sales,market minute 11-12-25- stocks on a streak; ai helping chip sales.,"market, minute, stocks, streak, helping",False,False,False,False,False,False,False,False,False,66,11,0.18,0.0,0.82,0.296,positive
2025-11-12,"Stock Market Today: Dow Jones Index Rises As Nvidia, AMD Rally (Live Coverage)",,"Stock Market Today: Dow Jones Index Rises As Nvidia, AMD Rally (Live Coverage)",Finviz,https://finance.yahoo.com/m/1e1e145a-40b5-3a5e-a091-0f15de4eac9e/stock-market-today%3A-dow-jones.html,"stock market today: dow jones index rises as nvidia, amd rally (live coverage)",,"stock market today: dow jones index rises as nvidia, amd rally (live coverage)","stock market today: dow jones index rises as nvidia, amd rally (live coverage).","stock, market, today, dow, jones",False,False,False,False,False,False,False,False,False,79,13,0.0,0.0,1.0,0.0,neutral
2025-11-12,This Market Is Trickier Than You Think. How to Hedge.,,This Market Is Trickier Than You Think. How to Hedge.,Finviz,https://www.barrons.com/articles/-market-trickier-how-to-hedge-options-0c92468d?mod=bar_FV,this market is trickier than you think. how to hedge.,,this market is trickier than you think. how to hedge.,this market is trickier than you think. how to hedge..,"market, trickier, think, hedge",False,False,False,False,False,False,False,False,False,54,10,0.0,0.159,0.841,-0.1779,negative
2025-11-11,SPYs 50-Day Moving Average Streak is Going Strong. The Rest of the Market is Sending Up Flares.,,SPYs 50-Day Moving Average Streak is Going Strong. The Rest of the Market is Sending Up Flares.,Finviz,https://finance.yahoo.com/m/442337b7-470d-3327-a8f8-5d675ca17c1c/spy%E2%80%99s-50-day-moving-average.html,spys 50-day moving average streak is going strong. the rest of the market is sending up flares.,,spys 50-day moving average streak is going strong. the rest of the market is sending up flares.,spys 50-day moving average streak is going strong. the rest of the market is sending up flares..,"spys, moving, average, streak, going",False,False,False,False,False,False,False,False,False,96,17,0.171,0.0,0.829,0.5106,positive
