feature,importance
unemployment_change,0.05330136702160665
fed_rate_change_3m,0.03950903406122368
return_lag3,0.03859909471237018
vix,0.03600049615683448
consumer_sentiment,0.032258454211219235
inflation_rate,0.03142501791922457
dollar_index,0.02895852455611369
rsi_14,0.027741966786814797
fed_rate_change,0.027477994868045297
return_lag1,0.02590590512097983
yield_curve,0.025147587757743704
return,0.0242440785784353
treasury_2y,0.02417820746573293
momentum_accel,0.0231546539582861
rsi_divergence,0.022319238660800995
consumer_sentiment_momentum,0.022080981571958983
vix_ma20,0.021082472687104895
treasury_10y,0.019986554702897192
volatility_3d,0.01946038867969586
volume_rolling_mean_10,0.01883709224220325
fed_funds_rate,0.01855192381944668
macd,0.0184433936773658
return_lag5,0.018439020739595528
volume_rolling_mean_5,0.01837344766224999
oil_price,0.017962787888923908
intraday_range,0.01729867791293684
price_vs_sma20,0.01723586283652923
bb_width,0.016713423609848378
volatility_ratio,0.016695711115260484
return_lag2,0.01581135454520898
macd_signal,0.014327027694687543
price_momentum_3d,0.013177033715283675
volume_sma_20,0.01169650479812738
return_rolling_mean_20,0.011152469718162436
return_rolling_std_10,0.010885847825734598
macd_momentum,0.010873325068173813
volume_ratio,0.010688385855725725
momentum_10,0.009843428321259009
volume_rolling_mean_20,0.009794645382619562
return_rolling_std_5,0.009607956411503757
momentum_20,0.009336377462200625
return_rolling_mean_10,0.008722894928991285
volatility_20d,0.007862510290667063
volatility_5d,0.007679033365437546
bb_lower,0.0075118544319885275
close_lag3,0.0073106776504235265
return_rolling_std_20,0.00698884154377782
macd_histogram,0.0068007622293669145
cpi,0.006491855287939882
unemployment_rate,0.006077399968656787
ema_12,0.006006977058961743
sma_200,0.005413070963118763
momentum_5,0.005381498607111586
price_momentum_10d,0.005323308454583631
sma_50,0.005256197702794
close_lag5,0.005240482629798293
volatility_10d,0.004863401958997436
close_lag1,0.004830896721744413
ema_26,0.004690971744320651
roc_10,0.0043582368237671245
bb_upper,0.0037118184314804425
return_rolling_mean_5,0.003649446552526331
bullish_days,0.0029992773534845848
close_lag2,0.00270750709461889
price_momentum_5d,0.0026695466161815702
sma_20,0.0025994582275314223
roc_5,0.0024335212284595136
bb_middle,0.002393108032076507
rsi_extreme,0.0006623059826558237
macd_positive,0.00047393662805954144
yield_curve_inverted,0.00026621614718698905
log_return,4.526756315572529e-05
sentiment_compound_mean,0.0
sentiment_negative_mean,0.0
sentiment_positive_mean,0.0
vix_spike,0.0
sentiment_neutral_mean,0.0
sentiment_compound_std,0.0
sentiment_compound_min,0.0
sentiment_rolling_max_10,0.0
sentiment_rolling_mean_10,0.0
sentiment_rolling_std_10,0.0
sentiment_rolling_min_10,0.0
sentiment_rolling_std_5,0.0
sentiment_rolling_mean_5,0.0
sentiment_rolling_max_5,0.0
sentiment_rolling_min_5,0.0
sentiment_lag1,0.0
sentiment_ma10,0.0
sentiment_ma5,0.0
sentiment_momentum,0.0
news_count,0.0
sentiment_compound_max,0.0
sentiment_lag2,0.0
sentiment_lag3,0.0
sentiment_macd,0.0
sentiment_volume,0.0
sentiment_price_momentum,0.0
news_weighted_sentiment,0.0
sentiment_rolling_max_20,0.0
sentiment_rolling_min_20,0.0
sentiment_rolling_std_20,0.0
sentiment_rsi,0.0
sentiment_rolling_mean_20,0.0
volume_surge,0.0
sma_cross,0.0
volume_dry,0.0
sentiment_abs,0.0
sentiment_positive,0.0
sentiment_negative,0.0
sent_price_agree,0.0
